1-Name;2-Manufacturer;3-Camera Model;4-Year;5-Camera Type;6-F-number;7-ISO;8-Aperture;9-Exposure;10-MegaPixels;11-RAWsize;12-Focallength;13-Focallength Eq. 35Mm;14-cropFactor;15-Sensor size;16-Sensor Size (mm);17-pixel pitch (um);18-Pixel Density (MP/cm2);19-Sensor Model;20-Demosaicing algorithm;21-USM / DEN order;22-Sharpenning;23-Denoising;24-Resizing;25-ImageSize;26-JPEG Compression
00001.dng;Google;Pixel XL;2016;Smartphone/Tablet;2;50;2;1/940;12.3;4048x3036;4.7;26;5.53191;1/2.3";7.7;1.55;41.6233;Sony Exmor IMX378 RS;DCB2;0;USM OFF,0.00,0.00;DENOISE OFF,0.00,0.00;RESIZE ON_WITH_CROP,BICUBIC,0.50690;1024x512;97
00100.dng;Google;Pixel XL;2016;Smartphone/Tablet;2;67;2;1/2908;12.3;4048x3036;4.7;26;5.53191;1/2.3";7.7;1.55;41.6233;Sony Exmor IMX378 RS;Fast;0;USM OFF,0.00,0.00;DENOISE OFF,0.00,0.00;RESIZE ON_WITH_CROP,LANCZOS,1.16679;640x720;80
00200.dng;Google;Pixel XL;2016;Smartphone/Tablet;2;373;2;1/50;12.3;4048x3044;4.7;26;5.53191;1/2.3";7.7;1.55;41.6233;Sony Exmor IMX378 RS;AMaZE;1;USM ON,0.49,325.00;DENOISE ON,43.00,55.00;RESIZE ON_WITH_CROP,BILINEAR,0.78298;720x512;90
00300.dng;Google;Pixel XL;2016;Smartphone/Tablet;2;50;2;1/1861;12.3;4048x3036;4.7;26;5.53191;1/2.3";7.7;1.55;41.6233;Sony Exmor IMX378 RS;AMaZE;1;USM ON,1.05,34.00;DENOISE OFF,0.00,0.00;RESIZE ON_WITH_CROP,NEAREST,0.61035;720x720;95
00400.dng;Google;Pixel XL;2016;Smartphone/Tablet;2;56;2;1/2515;12.3;4048x3036;4.7;26;5.53191;1/2.3";7.7;1.55;41.6233;Sony Exmor IMX378 RS;IGV;0;USM OFF,0.00,0.00;DENOISE ON,11.00,53.00;RESIZE ON_WITH_CROP,NEAREST,0.74012;640x512;100
00500.dng;Google;Pixel XL;2016;Smartphone/Tablet;2;51;2;1/2115;12.3;4048x3036;4.7;26;5.53191;1/2.3";7.7;1.55;41.6233;Sony Exmor IMX378 RS;AMaZE;1;USM ON,0.57,219.00;DENOISE OFF,0.00,0.00;RESIZE CROP_ONLY,NONE,0.00000;1024x512;75
00600.dng;Google;Pixel XL;2016;Smartphone/Tablet;2;50;2;1/831;12.3;4048x3044;4.7;26;5.53191;1/2.3";7.7;1.55;41.6233;Sony Exmor IMX378 RS;Fast;0;USM OFF,0.00,0.00;DENOISE ON,84.00,28.00;RESIZE ON_ALONE,BILINEAR,0.23778;640x720;80
00700.dng;Google;Pixel XL;2016;Smartphone/Tablet;2;50;2;1/551;12.3;4048x3036;4.7;26;5.53191;1/2.3";7.7;1.55;41.6233;Sony Exmor IMX378 RS;DCB2;1;USM OFF,0.00,0.00;DENOISE OFF,0.00,0.00;RESIZE ON_ALONE,BICUBIC,0.21136;512x640;100
00800.dng;Google;Pixel XL;2016;Smartphone/Tablet;2;107;2;1/120;12.3;4048x3036;4.7;26;5.53191;1/2.3";7.7;1.55;41.6233;Sony Exmor IMX378 RS;DCB2;1;USM ON,2.20,263.00;DENOISE OFF,0.00,0.00;RESIZE ON_WITH_CROP,LANCZOS,0.44008;640x1024;80
00900.dng;Google;Pixel XL;2016;Smartphone/Tablet;2;641;2;1/33;12.3;4048x3036;4.7;26;5.53191;1/2.3";7.7;1.55;41.6233;Sony Exmor IMX378 RS;AMaZE;0;USM OFF,0.00,0.00;DENOISE OFF,0.00,0.00;RESIZE ON_WITH_CROP,LANCZOS,0.64336;640x1024;100
